#,Title,R.,Conf.,R0. Avg.,R. Avg.,Conf. Avg.,Corr.,Status
420,Unprocessing Seven Years of Algorithmic Fairness,"6,6,8,8","5,3,3,3",6.25,7,3.5,-0.58,Oral
421,Effective Data Augmentation With Diffusion Models,"6,6,8,8","4,4,4,4",6.5,7,4,0,Poster
422,Improving Code Style for Accurate Code Generation,"5,8,8","3,5,3",5.67,7,3.67,0.5,Poster
423,Feature Learning in Infinite Depth Neural Networks,"5,6,8,8,8","3,4,4,4,4",6,7,3.8,0.79,Poster
424,Provable Robust Watermarking for AI-Generated Text,"6,6,8,8","3,2,3,4",7,7,3,0.71,Poster
425,Retrieval meets Long Context Large Language Models,"6,6,6,8,8,8","4,3,3,3,4,4",6.83,7,3.5,0.33,Poster
426,Guess & Sketch: Language Model Guided Transpilation,"5,8,8","2,4,2",6.33,7,2.67,0.5,Poster
427,Improved Techniques for Training Consistency Models,"6,6,8,8","4,4,4,4",7,7,4,0,Oral
428,Few-shot Hybrid Domain Adaptation of Image Generator,"5,8,8","2,4,3",5.67,7,3,0.87,Poster
429,Out-Of-Domain Unlabeled Data Improves Generalization,"6,6,8,8","3,4,3,3",5.75,7,3.25,-0.58,Spotlight
430,On the Provable Advantage of Unsupervised Pretraining,"6,6,8,8","3,3,4,2",7,7,3,0,Spotlight
431,Pre-Training and Fine-Tuning Generative Flow Networks,"6,6,8,8","4,4,4,3",6.25,7,3.75,-0.58,Spotlight
432,Scaling Laws for Sparsely-Connected Foundation Models,"6,6,8,8","3,5,4,3",6.5,7,3.75,-0.3,Spotlight
433,Chain of Hindsight aligns Language Models with Feedback,"6,6,8,8","4,3,3,4",7,7,3.5,0,Poster
434,Constrained Decoding for Cross-lingual Label Projection,"6,6,8,8","3,4,4,4",6.25,7,3.75,0.58,Poster
437,Generalization of Deep ResNets in the Mean-Field Regime,"5,8,8","3,4,4",6.33,7,3.67,1,Spotlight
438,Grounding Multimodal Large Language Models to the World,"6,6,8,8","4,4,4,4",6.75,7,4,0,Poster
439,TUVF: Learning Generalizable Texture UV Radiance Fields,"6,6,8,8","4,5,3,4",5.5,7,4,-0.71,Poster
440,A Fast and Provable Algorithm for Sparse Phase Retrieval,"6,6,8,8","4,4,4,3",6.5,7,3.75,-0.58,Poster
441,Controlled Text Generation via Language Model Arithmetic,"5,6,8,8,8","3,3,3,3,4",6.25,7,3.2,0.4,Spotlight
442,LEAP: Liberate Sparse-View 3D Modeling from Camera Poses,"5,6,6,8,10","4,5,5,4,4",6.6,7,4.4,-0.46,Poster
443,RetroBridge: Modeling Retrosynthesis with Markov Bridges,"6,6,8,8","3,5,4,4",6.5,7,4,0,Spotlight
444,Reward Design for Justifiable Sequential Decision-Making,"6,6,8,8","2,3,2,3",6.25,7,2.5,0,Poster
445,Zero and Few-shot Semantic Parsing with Ambiguous Inputs,"6,6,8,8","2,4,3,4",6.75,7,3.25,0.3,Poster
446,A General Framework for User-Guided Bayesian Optimization,"6,6,8,8","3,3,4,4",6,7,3.5,1,Spotlight
447,Fantastic Generalization Measures are Nowhere to be Found,"6,6,8,8","4,4,3,3",5.75,7,3.5,-1,Poster
449,Incentivized Truthful Communication for Federated Bandits,"6,6,8,8","2,2,4,4",4.75,7,3,1,Poster
450,SaNN: Simple Yet Powerful Simplicial-aware Neural Networks,"6,6,8,8","4,3,2,4",6,7,3.25,-0.3,Spotlight
451,The False Promise of Imitating Proprietary Language Models,"6,6,8,8","4,3,4,4",6.5,7,3.75,0.58,Spotlight
452,Fixed-Budget Differentially Private Best Arm Identification,"5,6,8,8,8","4,2,3,3,4",6.75,7,3.2,0,Poster
453,Language Model Cascades: Token-Level Uncertainty And Beyond,"6,6,8,8","4,3,3,4",5.75,7,3.5,0,Poster
454,DreamClean: Restoring Clean Image Using Deep Diffusion Prior,"6,6,8,8","4,5,3,5",7,7,4.25,-0.3,Poster
455,FedInverse: Evaluating Privacy Leakage in Federated Learning,"6,6,8,8","4,4,3,4",5.5,7,3.75,-0.58,Poster
456,Meta-Learning Priors Using Unrolled Proximal Neural Networks,"6,6,8,8","4,3,2,3",6.75,7,3,-0.71,Poster
457,PanoDiffusion: 360-degree Panorama Outpainting via Diffusion,"6,6,8,8","3,3,3,4",6.25,7,3.25,0.58,Poster
458,Two-timescale Extragradient for Finding Local Minimax Points,"6,6,8,8","3,2,3,3",7,7,2.75,0.58,Poster
460,Accelerating Sinkhorn algorithm with sparse Newton iterations,"6,6,8,8","3,3,3,4",5.5,7,3.25,0.58,Poster
461,On Differentially Private Federated Linear Contextual Bandits,"6,6,8,8","4,4,3,3",7,7,3.5,-1,Poster
462,Provably Robust Conformal Prediction with Improved Efficiency,"6,6,8,8","3,4,4,3",6.25,7,3.5,0,Poster
463,Robotic Task Generalization via Hindsight Trajectory Sketches,"5,8,8","4,4,5",7,7,4.33,0.5,Spotlight
464,Discovering Temporally-Aware Reinforcement Learning Algorithms,"5,8,8","5,4,4",6.33,7,4.33,-1,Poster
465,Making Pre-trained Language Models Great on Tabular Prediction,"6,6,8,8","4,2,4,3",5.25,7,3.25,0.3,Spotlight
466,A unique M-pattern for micro-expreesion spotting in long videos,"5,6,8,8,8","2,2,4,3,2",6.2,7,2.6,0.59,Poster
467,Confronting Reward Model Overoptimization with Constrained RLHF,"6,6,8,8","4,4,3,3",6.25,7,3.5,-1,Spotlight
468,Rethinking Model Ensemble in Transfer-based Adversarial Attacks,"6,6,8,8","4,3,3,2",7,7,3,-0.71,Poster
469,Lemur: Harmonizing Natural Language and Code for Language Agents,"6,6,8,8","3,4,4,3",6.75,7,3.5,0,Spotlight
470,Neural structure learning with stochastic differential equations,"6,6,8,8","3,4,3,3",6.75,7,3.25,-0.58,Poster
471,Pre-training LiDAR-based 3D Object Detectors through Colorization,"6,6,8,8","5,4,4,5",6.75,7,4.5,0,Poster
472,Understanding Length Generalization by Thinking Like Transformers,"6,6,8,8","3,4,3,3",5,7,3.25,-0.58,Poster
473,Accurate Forgetting for Heterogeneous Federated Continual Learning,"5,6,8,8,8","2,4,4,4,4",5.4,7,3.6,0.79,Poster
474,Enhanced Face Recognition using Intra-class Incoherence Constraint,"6,6,8,8","4,4,5,4",6.5,7,4.25,0.58,Spotlight
475,Learning Multi-Agent Communication from Graph Modeling Perspective,"6,6,8,8","3,5,3,5",6.75,7,4,0,Poster
476,"Learning Polynomial Problems with $SL(2, \mathbb{R})$-Equivariance","5,8,8","2,5,3",6,7,3.33,0.76,Poster
477,Meaning Representations from Trajectories in Autoregressive Models,"6,6,8,8","3,4,4,4",6.5,7,3.75,0.58,Poster
478,SEABO: A Simple Search-Based Method for Offline Imitation Learning,"6,6,8,8","5,4,4,4",6,7,4.25,-0.58,Poster
479,A Unified Approach for Online Continuous DR-Submodular Maximization,"5,6,10","4,3,3",7,7,3.33,-0.65,Poster
480,General Stability Analysis for Zeroth-Order Optimization Algorithms,"6,6,8,8","4,4,3,3",6.25,7,3.5,-1,Poster
481,Selective Mixup Fine-Tuning for Optimizing Non-Decomposable Metrics,"6,6,8,8","3,4,3,4",6.5,7,3.5,0,Spotlight
482,WildFusion: Learning 3D-Aware Latent Diffusion Models in View Space,"6,6,8,8","4,4,4,3",5.75,7,3.75,-0.58,Poster
483,BioBridge: Bridging Biomedical Foundation Models via Knowledge Graph,"6,6,8,8","3,4,5,4",5.75,7,4,0.71,Poster
484,Brain decoding: toward real-time reconstruction of visual perception,"6,6,8,8","3,3,4,4",6,7,3.5,1,Poster
485,Catastrophic Jailbreak of Open-source LLMs via Exploiting Generation,"6,6,8,8","4,3,4,4",6.5,7,3.75,0.58,Spotlight
486,Input-gradient space particle inference for neural network ensembles,"6,6,8,8","4,3,4,3",6.5,7,3.5,0,Spotlight
487,Multi-View Causal Representation Learning with Partial Observability,"6,6,8,8","3,3,4,3",7,7,3.25,0.58,Spotlight
488,Chain-of-Experts: When LLMs Meet Complex Operations Research Problems,"6,6,8,8","3,4,4,4",5.5,7,3.75,0.58,Poster
490,FedImpro: Measuring and Improving Client Update in Federated Learning,"6,6,8,8","4,3,2,3",5.75,7,3,-0.71,Poster
491,GIO: Gradient Information Optimization for Training Dataset Selection,"6,6,8,8","3,4,3,3",5.5,7,3.25,-0.58,Spotlight
492,Implicit regularization of deep residual networks towards neural ODEs,"6,6,8,8","2,2,4,4",7,7,3,1,Spotlight
493,LongLoRA: Efficient Fine-tuning of Long-Context Large Language Models,"6,6,8,8","3,4,4,3",6.67,7,3.5,0,Oral
494,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,"6,6,8,8","3,4,3,3",6,7,3.25,-0.58,Poster
495,TokenFlow: Consistent Diffusion Features for Consistent Video Editing,"6,6,8,8","4,4,4,4",7,7,4,0,Poster
497,Generating Stealthy Jailbreak Prompts on Aligned Large Language Models,"6,6,8,8","4,4,4,3",5.5,7,3.75,-0.58,Poster
498,InfoBatch: Lossless Training Speed Up by Unbiased Dynamic Data Pruning,"6,6,8,8","4,4,4,4",6,7,4,0,Oral
499,On the Role of Discrete Tokenization in Visual Representation Learning,"6,6,8,8","3,4,2,3",6.25,7,3,-0.71,Spotlight
500,Teach LLMs to Phish: Stealing Private Information from Language Models,"5,8,8","4,4,4",6,7,4,0,Poster
502,Parameter-Efficient Multi-Task Model Fusion with Partial Linearizeation,"6,6,8,8","4,2,2,2",6.5,7,2.5,-0.58,Poster
503,Offline Data Enhanced On-Policy Policy Gradient with Provable Guarantees,"6,6,8,8","4,4,3,3",6.75,7,3.5,-1,Poster
504,PARL: A Unified Framework for Policy Alignment in Reinforcement Learning,"6,6,8,8","3,3,3,3",6,7,3,0,Poster
505,TAB: Temporal Accumulated Batch Normalization in Spiking Neural Networks,"6,6,8,8","4,3,5,4",5,7,4,0.71,Poster
506,Tensor Trust: Interpretable Prompt Injection Attacks from an Online Game,"5,8,8","3,2,3",6.33,7,2.67,-0.5,Spotlight
507,Time Travel in LLMs: Tracing Data Contamination in Large Language Models,"6,6,8,8","3,4,3,2",5.75,7,3,-0.71,Spotlight
508,Time-LLM: Time Series Forecasting by Reprogramming Large Language Models,"3,8,8,8,8","5,4,3,4,4",5.4,7,4,-0.79,Poster
509,Towards Eliminating Hard Label Constraints in Gradient Inversion Attacks,"6,6,8,8","2,2,4,4",5.75,7,3,1,Poster
510,Bandits Meet Mechanism Design to Combat Clickbait in Online Recommendation,"6,6,8,8","4,3,3,4",6.25,7,3.5,0,Spotlight
511,"Connect, Collapse, Corrupt: Learning Cross-Modal Tasks with Uni-Modal Data","6,6,8,8","4,3,4,3",6.75,7,3.5,0,Poster
512,Efficient Distributed Training with Full Communication-Computation Overlap,"6,6,6,8,8,8","4,4,4,2,4,4",5.6,7,3.67,-0.45,Spotlight
513,Enhancing Group Fairness in Online Settings Using Oblique Decision Forests,"5,6,8,8,8","3,4,4,3,3",5.8,7,3.4,0,Spotlight
514,Feature emergence via margin maximization: case studies in algebraic tasks,"6,6,8,8","3,3,3,2",7,7,2.75,-0.58,Spotlight
515,Fine-tuning Multimodal LLMs to Follow Zero-shot Demonstrative Instructions,"6,6,8,8","4,5,4,4",6.75,7,4.25,-0.58,Spotlight
516,LILO: Learning Interpretable Libraries by Compressing and Documenting Code,"6,6,8,8","4,3,4,5",6,7,4,0.71,Poster
517,MetaPhysiCa: Improving OOD Robustness in Physics-informed Machine Learning,"6,6,8,8","5,2,3,3",6.25,7,3.25,-0.23,Spotlight
518,One For All: Towards Training One Graph Model For All Classification Tasks,"6,6,6,10","4,4,3,5",6.5,7,4,0.82,Spotlight
519,Progressive Fourier Neural Representation for Sequential Video Compilation,"6,6,8,8","3,4,4,4",6,7,3.75,0.58,Poster
520,Rethinking Complex Queries on Knowledge Graphs with Neural Link Predictors,"6,6,8,8","4,3,4,3",7,7,3.5,0,Poster
521,SEAL: A Framework for Systematic Evaluation of Real-World Super-Resolution,"6,6,8,8","2,4,4,5",7,7,3.75,0.69,Spotlight
522,Sum-Product-Set Networks: Deep Tractable Models for Tree-Structured Graphs,"6,6,8,8","4,2,3,3",6,7,3,0,Poster
523,"The Generative AI Paradox: “What It Can Create, It May Not Understand”","6,6,8,8","4,3,4,3",6.25,7,3.5,0,Poster
524,ACRF: Compressing Explicit Neural Radiance Fields via Attribute Compression,"6,6,8,8","4,4,4,4",6.75,7,4,0,Poster
525,MetaCoCo: A New Few-Shot Classification Benchmark with Spurious Correlation,"5,8,8","2,3,4",6.33,7,3,0.87,Poster
526,SEPT: Towards Efficient Scene Representation Learning for Motion Prediction,"6,6,8,8","5,4,5,4",6.5,7,4.5,0,Poster
527,Towards Robust Offline Reinforcement Learning under Diverse Data Corruption,"6,6,8,8","4,4,5,3",6.5,7,4,0,Spotlight
528,Tuning LayerNorm in Attention: Towards Efficient Multi-Modal LLM Finetuning,"6,6,8,8","4,3,2,4",7,7,3.25,-0.3,Spotlight
529,EmerNeRF: Emergent Spatial-Temporal Scene Decomposition via Self-Supervision,"6,6,8,8","3,4,3,4",6.5,7,3.5,0,Poster
530,Guiding Instruction-based Image Editing via Multimodal Large Language Models,"6,6,8,8","3,3,4,4",7,7,3.5,1,Spotlight
531,Masked Distillation Advances Self-Supervised Transformer Architecture Search,"6,6,8,8","5,4,2,4",5.75,7,3.75,-0.69,Poster
532,Spurious Feature Diversification Improves Out-of-distribution Generalization,"5,8,8","2,4,3",7,7,3,0.87,Poster
533,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,"6,6,8,8","5,4,5,4",5.5,7,4.5,0,Spotlight
534,$\infty$-Diff: Infinite Resolution Diffusion with Subsampled Mollified States,"6,6,8,8","4,3,5,3",5.5,7,3.75,0.3,Poster
535,BatteryML:An Open-source platform for Machine Learning on Battery Degradation,"6,6,8,8","3,2,3,3",6.5,7,2.75,0.58,Spotlight
537,InfoCon: Concept Discovery with Generative and Discriminative Informativeness,"6,6,8,8","3,3,4,3",6.25,7,3.25,0.58,Poster
538,One Forward is Enough for Neural Network Training via Likelihood Ratio Method,"6,6,8,8","2,4,3,3",6.25,7,3,0,Poster
539,Who to imitate: Imitating desired behavior from divserse multi-agent datasets,"5,6,8,8,8","3,3,2,3,3",6,7,2.8,-0.4,Poster
540,Efficient Video Diffusion Models via Content-Frame Motion-Latent Decomposition,"6,6,8,8","5,2,4,4",6.75,7,3.75,0.23,Poster
541,Graphpulse: Topological representations for temporal graph property prediction,"6,6,8,8","5,2,3,5",5.5,7,3.75,0.19,Poster
542,Spatio-Temporal Approximation: A Training-Free SNN Conversion for Transformers,"6,6,8,8","4,4,5,4",5.75,7,4.25,0.58,Poster
543,The Truth Is In There: Improving Reasoning with Layer-Selective Rank Reduction,"3,8,10","4,3,4",6.33,7,3.67,-0.24,Poster
544,A Characterization Theorem for Equivariant Networks with Point-wise Activations,"6,6,8,8","3,2,3,3",5.5,7,2.75,0.58,Poster
545,Accelerating Data Generation for Neural Operators via Krylov Subspace Recycling,"6,6,8,8","3,2,3,4",6.25,7,3,0.71,Spotlight
546,Analyzing Feed-Forward Blocks in Transformers through the Lens of Attention Map,"6,6,8,8","3,4,4,3",6.75,7,3.5,0,Spotlight
547,Beating Price of Anarchy and Gradient Descent without Regret in Potential Games,"6,8","2,3",7,7,2.5,1,Poster
548,BrainSCUBA: Fine-Grained Natural Language Captions of Visual Cortex Selectivity,"6,6,8,8","3,3,4,4",6,7,3.5,1,Poster
549,Elastic Feature Consolidation For Cold Start Exemplar-Free Incremental Learning,"6,6,8,8","5,5,4,5",6.25,7,4.75,-0.58,Poster
550,Fleet Policy Learning via Weight Merging and An Application to Robotic Tool-Use,"5,8,8","4,3,3",6,7,3.33,-1,Poster
551,Minimum width for universal approximation using ReLU networks on compact domain,"5,8,8","4,5,5",6.33,7,4.67,1,Poster
552,Accelerating Distributed Stochastic Optimization via Self-Repellent Random Walks,"6,6,8,8","4,4,3,4",6.25,7,3.75,-0.58,Oral
553,Discovering Failure Modes of Text-guided Diffusion Models via Adversarial Search,"6,6,6,10","4,3,4,5",6.75,7,4,0.82,Poster
554,Searching for High-Value Molecules Using Reinforcement Learning and Transformers,"6,6,8,8","4,2,4,2",5.75,7,3,0,Poster
555,The Optimal Constant Solution: Predictable Extrapolation in Deep Neural Networks,"6,6,8,8","4,3,3,4",6.75,7,3.5,0,Poster
556,Threaten Spiking Neural Networks through Combining Rate and Temporal Information,"6,6,8,8","4,5,4,4",6.5,7,4.25,-0.58,Poster
557,Towards Lossless Dataset Distillation via Difficulty-Aligned Trajectory Matching,"6,6,8,8","3,3,4,4",6.5,7,3.5,1,Poster
558,CLIPSelf: Vision Transformer Distills Itself for Open-Vocabulary Dense Prediction,"6,6,8,8","4,4,5,4",6.75,7,4.25,0.58,Spotlight
559,Canonpipe: Data Debugging with Shapley Importance over Machine Learning Pipelines,"6,6,8,8","3,4,3,2",6.25,7,3,-0.71,Poster
560,Self-Supervised Speech Quality Estimation and Enhancement Using Only Clean Speech,"6,6,8,8","4,3,5,3",5,7,3.75,0.3,Poster
562,PandaLM: An Automatic Evaluation Benchmark for LLM Instruction Tuning Optimization,"5,8,8","4,3,3",7,7,3.33,-1,Poster
563,Proximal Policy Gradient Arborescence for Quality Diversity Reinforcement Learning,"6,6,8,8","4,3,5,2",6.25,7,3.5,0,Spotlight
564,Relay Diffusion: Unifying diffusion process across resolutions for image synthesis,"6,6,8,8","4,4,4,3",5.5,7,3.75,-0.58,Spotlight
565,Neural Fourier Transform: A General Approach to Equivariant Representation Learning,"6,6,8,8","3,4,3,3",7,7,3.25,-0.58,Poster
566,Project and Probe: Sample-Efficient Adaptation by Interpolating Orthogonal Features,"5,8,8","4,4,3",5.67,7,3.67,-0.5,Spotlight
567,Provable Memory Efficient Self-Play Algorithm for Model-free Reinforcement Learning,"6,6,8,8","3,3,4,3",5,7,3.25,0.58,Poster
568,SocioDojo: Building Lifelong Analytical Agents with Real-world Text and Time Series,"5,8,8","3,3,4",6.33,7,3.33,0.5,Spotlight
569,Decision ConvFormer: Local Filtering in MetaFormer is Sufficient for Decision Making,"5,8,8","3,4,4",7,7,3.67,1,Spotlight
570,Decongestion by Representation: Learning to Improve Economic Welfare in Marketplaces,"6,6,8,8","3,3,2,3",7,7,2.75,-0.58,Poster
571,Divide and not forget: Ensemble of selectively trained experts in Continual Learning,"6,6,8,8","3,3,4,3",6,7,3.25,0.58,Poster
572,Impact of Computation in Integral Reinforcement Learning for Continuous-Time Control,"6,6,8,8","2,2,3,3",6.25,7,2.5,1,Spotlight
573,Leveraging Unpaired Data for Vision-Language Generative Models via Cycle Consistency,"6,6,8,8","4,3,3,4",6.75,7,3.5,0,Spotlight
574,Motion Guidance: Diffusion-Based Image Editing with Differentiable Motion Estimators,"6,6,8,8","3,4,4,4",6.25,7,3.75,0.58,Poster
575,Text2Reward: Dense Reward Generation with Language Models for Reinforcement Learning,"6,6,8,8","5,4,4,3",5,7,4,-0.71,Spotlight
576,Beyond Worst-case Attacks: Robust RL with Adaptive Defense via Non-dominated Policies,"6,6,8,8","3,2,2,2",5.5,7,2.25,-0.58,Spotlight
577,Structuring Representation Geometry with Rotationally Equivariant Contrastive Learning,"6,6,8,8","4,3,3,3",6.25,7,3.25,-0.58,Poster
578,AlignDiff: Aligning Diverse Human Preferences via Behavior-Customisable Diffusion Model,"6,6,8,8","3,3,2,3",6.75,7,2.75,-0.58,Poster
579,InstaFlow: One Step is Enough for High-Quality Diffusion-Based Text-to-Image Generation,"6,6,8,8","5,4,4,3",6,7,4,-0.71,Poster
580,InternVid: A Large-scale Video-Text Dataset for Multimodal Understanding and Generation,"6,6,8,8","4,4,5,5",6,7,4.5,1,Spotlight
581,Self-Supervised High Dynamic Range Imaging with Multi-Exposure Images in Dynamic Scenes,"6,6,8,8","3,4,4,5",7,7,4,0.71,Poster
582,Zero-Shot Continuous Prompt Transfer: Generalizing Task Semantics Across Language Models,"6,6,8,8","4,4,3,2",6.25,7,3.25,-0.9,Poster
583,Efficient Algorithms for the CCA Family: Unconstrained Objectives with Unbiased Gradients,"5,8,8","2,2,3",6.33,7,2.33,0.5,Poster
584,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!","6,6,6,10","5,4,2,5",6.5,7,4,0.47,Oral
585,Learning in reverse causal strategic environments with ramifications on two sided markets,"6,8","3,4",5.5,7,3.5,1,Poster
586,Self-supervised Heterogeneous Graph Learning: a Homogeneity and Heterogeneity Perspective,"6,6,6,8,8,8","4,3,4,4,5,3",6.5,7,3.83,0.24,Poster
587,Think-on-Graph: Deep and Responsible Reasoning of Large Language Model on Knowledge Graph,"6,6,8,8","4,4,4,4",7.33,7,4,0,Poster
588,BESA: Pruning Large Language Models with Blockwise Parameter-Efficient Sparsity Allocation,"6,6,8,8","3,3,2,3",7,7,2.75,-0.58,Poster
590,Contrastive Preference Learning: Learning from Human Feedback without Reinforcement Learning,"6,6,8,8","3,4,4,2",6.25,7,3.25,-0.3,Poster
591,End-to-End (Instance)-Image Goal Navigation through Correspondence as an Emergent Phenomenon,"6,6,8,8","4,5,5,4",7,7,4.5,0,Poster
592,Entropy is not Enough for Test-time Adaptation: From the Perspective of Disentangled Factors,"6,6,8,8","3,5,5,4",6,7,4.25,0.3,Spotlight
593,ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis,"6,6,8,8","4,4,3,3",7,7,3.5,-1,Oral
594,Where We Have Arrived in Proving the Emergence of Sparse Interaction Primitives in AI Models,"6,6,8,8","2,3,3,2",5.5,7,2.5,0,Poster
595,AnimateDiff: Animate Your Personalized Text-to-Image Diffusion Models without Specific Tuning,"6,6,8,8","3,4,5,4",7,7,4,0.71,Spotlight
596,Learning Delays in Spiking Neural Networks using Dilated Convolutions with Learnable Spacings,"6,6,8,8","3,4,5,4",5,7,4,0.71,Poster
597,Mitigating the Curse of Dimensionality for Certified Robustness via Dual Randomized Smoothing,"6,6,8,8","3,2,3,1",6.25,7,2.25,-0.3,Poster
598,RECOMP: Improving Retrieval-Augmented LMs with Context Compression and Selective Augmentation,"6,6,8,8","3,4,4,4",6.33,7,3.75,0.58,Poster
599,ReTaSA: A Nonparametric Functional Estimation Approach for Addressing Continuous Target Shift,"6,6,8,8","3,3,3,4",5.75,7,3.25,0.58,Poster
601,Learning Adaptive Multiresolution Transforms via Meta-Framelet-based Graph Convolutional Network,"6,6,8,8","3,4,3,4",5.75,7,3.5,0,Poster
602,Remote Sensing Vision-Language Foundation Models without Annotations via Ground Remote Alignment,"6,6,8,8","2,4,5,4",6.75,7,3.75,0.69,Poster
604,CORN: Contact-based Object Representation for Nonprehensile Manipulation of General Unseen Objects,"5,5,8,10","4,3,4,4",6,7,3.75,0.54,Poster
605,Diffeomorphic Mesh Deformation via Efficient Optimal Transport for Cortical Surface Reconstruction,"6,6,8,8","3,2,4,4",6.75,7,3.25,0.9,Poster
606,PixArt-$\alpha$: Fast Training of Diffusion Transformer for Photorealistic Text-to-Image Synthesis,"6,6,8,8","4,4,4,4",6.75,7,4,0,Spotlight
607,Understanding In-Context Learning in Transformers and LLMs by Learning to Learn Discrete Functions,"6,6,8,8","4,4,3,4",5.5,7,3.75,-0.58,Oral
608,Guiding Masked Representation Learning to Capture Spatio-Temporal Relationship of Electrocardiogram,"6,6,8,8","3,4,5,4",6.5,7,4,0.71,Poster
609,Align With Purpose: Optimize Desired Properties in CTC Models with a General Plug-and-Play Framework,"6,6,8,8","4,5,4,5",5.67,7,4.5,0,Poster
610,Uni-O4: Unifying Online and Offline Deep Reinforcement Learning with Multi-Step On-Policy Optimization,"6,6,8,8","5,3,4,3",6.25,7,3.75,-0.3,Poster
611,VBH-GNN: Variational Bayesian Heterogeneous Graph Neural Networks for Cross-subject Emotion Recognition,"6,6,8,8","3,2,4,4",6.67,7,3.25,0.9,Poster
612,Cross$Q$: Batch Normalization in Deep Reinforcement Learning for Greater Sample Efficiency and Simplicity,"6,6,8,8","4,3,5,5",5.25,7,4.25,0.9,Spotlight
613,Consistency Training with Learnable Data Augmentation for Graph Anomaly Detection with Limited Supervision,"5,8,8","4,4,4",5.67,7,4,0,Spotlight
614,Adaptive Chameleon or Stubborn Sloth: Revealing the Behavior of Large Language Models in Knowledge Conflicts,"6,6,8,8","3,4,4,5",7,7,4,0.71,Spotlight
615,PILOT: An $\mathcal{O}(1/T)$-Convergent Approach for Policy Evaluation with Nonlinear Function Approximation,"6,6,8,8","3,3,3,3",7,7,3,0,Spotlight
616,FairSeg: A Large-scale Medical Image Segmentation Dataset for Fairness Learning with Fair Error-Bound Scaling,"6,6,8,8","5,3,4,3",7,7,3.75,-0.3,Poster
617,Greedy Sequential Execution: Solving Homogeneous and Heterogeneous Cooperative Tasks with a Unified Framework,"6,6,8,8","3,5,3,4",6.25,7,3.75,-0.3,Spotlight
618,Improved Efficiency Based on Learned Saccade and Continuous Scene Reconstruction From Foveated Visual Sampling,"6,6,8,8","4,2,3,5",5.75,7,3.5,0.45,Spotlight
619,"M3C: A Framework towards Convergent, Flexible, and Unsupervised Learning of Mixture Graph Matching and Clustering","6,6,8,8","4,3,5,3",5.5,7,3.75,0.3,Poster
620,Leveraging augmented-Lagrangian techniques for differentiating over infeasible quadratic programs in machine learning,"6,6,8,8","4,4,3,3",7,7,3.5,-1,Spotlight
621,DMBP: Diffusion model based predictor for robust offline reinforcement learning against state observation perturbations,"6,6,8,8","4,4,3,3",6.75,7,3.5,-1,Poster
622,Open-ended VQA benchmarking of Vision-Language models by exploiting Classification datasets and their semantic hierarchy,"5,8,8","3,5,5",7,7,4.33,1,Spotlight
623,LUT-GEMM: Quantized Matrix Multiplication based on LUTs for Efficient Inference in Large-Scale Generative Language Models,"6,6,8,8","4,4,5,4",6.25,7,4.25,0.58,Poster
624,The Effect of Intrinsic Dataset Properties on Generalization: Unraveling Learning Differences Between Natural and Medical Images,"6,6,8,8","4,4,4,3",5.5,7,3.75,-0.58,Poster
625,Lie Group Decompositions for Equivariant Neural Networks,"5,6,6,8,8,8","3,3,3,3,3,3",6,6.83,3,0,Poster
626,Light Schrödinger Bridge,"5,5,8,8,8","3,4,4,1,3",5.8,6.8,3,-0.37,Poster
627,Augmented Bayesian Policy Search,"6,6,6,8,8","3,4,4,4,4",6,6.8,3.8,0.41,Poster
628,On the Foundations of Shortcut Learning,"6,6,6,8,8","3,3,2,4,3",6.4,6.8,3,0.65,Spotlight
629,Course Correcting Koopman Representations,"6,6,6,8,8","2,3,2,3,4",5.4,6.8,2.8,0.76,Poster
630,Dual Associated Encoder for Face Restoration,"5,5,8,8,8","3,4,3,4,4",6.5,6.8,3.6,0.17,Poster
631,Transformers can optimally learn regression mixture models,"6,6,6,8,8","4,3,3,3,3",5.2,6.8,3.2,-0.41,Poster
632,Uncertainty Quantification via Stable Distribution Propagation,"6,6,6,8,8","4,3,4,4,3",6,6.8,3.6,-0.17,Poster
633,How Well Do Supervised Models Transfer to 3D Image Segmentation?,"6,6,6,8,8","3,5,4,3,3",6.2,6.8,3.6,-0.61,Oral
634,GraphChef: Decision-Tree Recipes to Explain Graph Neural Networks,"6,6,6,8,8","4,3,4,2,4",6.6,6.8,3.4,-0.41,Poster
635,Implicit Neural Representations and the Algebra of Complex Wavelets,"6,6,6,8,8","4,3,3,4,3",5.2,6.8,3.4,0.17,Poster
636,Consistent Multi-Class Classification from Multiple Unlabeled Datasets,"6,6,6,8,8","4,3,5,4,4",5.4,6.8,4,0,Spotlight
637,ODE Discovery for Longitudinal Heterogeneous Treatment Effects Inference,"5,5,8,8,8","4,3,4,2,3",6.4,6.8,3.2,-0.33,Spotlight
638,Attention-based Iterative Decomposition for Tensor Product Representation,"6,6,6,8,8","3,2,4,2,4",5.8,6.8,3,0,Poster
639,Learning Energy-Based Models by Cooperative Diffusion Recovery Likelihood,"6,6,6,8,8","5,4,4,3,5",5.6,6.8,4.2,-0.22,Spotlight
